runtimeFamily,capabilityCode,capabilityName,capabilityType,currentState,currentRM,currentEM,primaryClientExperience,clientExperiences,lensRole,liveVerified
CPR,CPR-COMPOSITION,Presentation composition,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CPR,CPR-RESPONSIVE,Responsive presentation,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
WPR,WPR-ROUTE-SURFACE,Route and public surface production,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
WPR,WPR-ASSET-DELIVERY,Public asset resolution,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
WPR,WPR-HYDRATION,Hydration runtime,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
WPR,WPR-OBSERVABILITY,Drift / observability / deployment,OPERATIONAL,IMPLEMENTED,RM-8,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RDG,RDG-DATA-MODEL,Canonical data model,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RDG,RDG-EVIDENCE,Evidence eligibility / promotion boundary,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RDG,RDG-PRIVACY,Data rights / privacy,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RDG,RDG-RESEARCH,Aggregated research dataset boundary,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
ICR,ICR-INPUT,Canonical input,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
ICR,ICR-CASE,Canonical case,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
ICR,ICR-VERIFICATION,Input verification,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
ICR,ICR-REALITY-HANDOFF,Reality initialization handoff,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RMO,RMO-REALITY,Canonical Reality Object,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RMO,RMO-EVIDENCE,Reality evidence binding,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RMO,RMO-LIFECYCLE,Reality lifecycle,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RMO,RMO-VERSION-DIFF,Reality version and diff,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RRE,RRE-READOUT,Canonical runtime readout,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRE,RRE-SIGNATURE,Runtime signature,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRE,RRE-CONFIDENCE,Confidence and unknown boundary,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RNE,RNE-POSITION-TARGET,Current position and target,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RNE,RNE-CONSTRAINT,Navigation constraint graph,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RNE,RNE-OPTIONS,Bounded option generation,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RNE,RNE-DECISION,Decision support,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
RNE,RNE-OUTCOME,Outcome feedback,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
JR,JR-JOURNEY,Canonical journey state,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
JR,JR-READING,Reading projection handoff,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
JR,JR-PROFESSIONAL,Professional handoff,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
ORC,ORC-DEPENDENCY,Dependency enforcement,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
ORC,ORC-ATOMIC,Atomic transitions,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
ORC,ORC-IDEMPOTENCY,Idempotency,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
ORC,ORC-REPLAY,Operational replay,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
ORC,ORC-RECOVERY,Recovery contract,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
KNR,KNR-CANONICAL,Canonical knowledge registry,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KNR,KNR-RETRIEVAL,Knowledge retrieval authority,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KNR,KNR-QUALITY,Knowledge production quality,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KAP,KAP-GROUNDING,Knowledge grounding,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
KAP,KAP-ANSWER,Answer composition,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
KAP,KAP-UNKNOWN,Unknown / authority boundary,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
CKA,CKA-ENTRY,Ask entry,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
CKA,CKA-ANSWER,Answer surface,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
CKA,CKA-GROUNDING,Grounded answer binding,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
CKA,CKA-PRIVACY,Privacy / entitlement,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,UNDERSTAND,UNDERSTAND,NONE_BY_DESIGN,False
ALR,ALR-ARCH,Learning architecture,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
ALR,ALR-KNOWLEDGE,Knowledge learning binding,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
ALR,ALR-PRACTICE,Practice runtime,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
ALR,ALR-ASSESSMENT,Assessment runtime,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
ALR,ALR-PROGRESS,Progress state,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
PR,PR-CASE,Professional case,RUNTIME,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
PR,PR-EVIDENCE,Professional evidence package,RUNTIME,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
PR,PR-JUDGMENT,Professional judgment,RUNTIME,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
PR,PR-APPROVAL,Professional approval lifecycle,RUNTIME,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
RR,RR-CANDIDATE,Report candidate,REPORT,IMPLEMENTED,RM-7,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
RR,RR-ASSEMBLY,Report assembly,REPORT,IMPLEMENTED,RM-7,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
RR,RR-REVIEW,Review / approval,REPORT,IMPLEMENTED,RM-7,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
RR,RR-RELEASE,Report release,REPORT,IMPLEMENTED,RM-7,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
CAR,CAR-ASSET,Canonical asset identity,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CAR,CAR-PUBLICATION,Asset publication,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CAR,CAR-FIGURE,Figure / diagram,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CAR,CAR-SURFACE,Surface projection,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
KAU,KAU-SOURCE,Authoring source,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KAU,KAU-MATCH,Canonical node match,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KAU,KAU-PROPOSAL,Canonical node proposal,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KAU,KAU-READINESS,Production readiness,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KPP,KPP-PLAN,Canonical production plan,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KPP,KPP-WAVE,Production wave,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KPP,KPP-HUMAN-DECISION,Human production decision,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
KPP,KPP-HANDOFF,PJA handoff,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
PJA,PJA-CANDIDATE,Article candidate,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN;UNDERSTAND,NONE_BY_DESIGN,False
PJA,PJA-REVIEW,Human review,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN;UNDERSTAND,NONE_BY_DESIGN,False
PJA,PJA-APPROVAL,Human approval,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN;UNDERSTAND,NONE_BY_DESIGN,False
PJA,PJA-PUBLICATION,Publication,RUNTIME,IMPLEMENTED,RM-5,EM-0,LEARN,LEARN;UNDERSTAND,NONE_BY_DESIGN,False
KI,KI-SEMANTIC,Semantic profiles / graph,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KI,KI-EXPANSION,Knowledge expansion,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KI,KI-ASSEMBLY,Canonical assembly / compression,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
KI,KI-PROJECTION,Adaptive projection / reading paths,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND,UNDERSTAND;LEARN,NONE_BY_DESIGN,False
MPA,MPA-REGISTRY,Method registry / state,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
MPA,MPA-REGRESSION,Method-scoped regression,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
MPA,MPA-ELIGIBILITY,Method eligibility gate,RUNTIME,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
MCD,MCD-ADAPTER,Canonical runtime adapter,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
MCD,MCD-EXECUTION,Method execution,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
MCD,MCD-PROJECTION,Canonical method projection,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
MCD,MCD-RENDERER,Dynamic renderer,RUNTIME,CLIENT_CONSUMED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
CMR,CMR-IDENTITY,Canonical meaning identity,RUNTIME,IMPLEMENTED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
CMR,CMR-AST,AST meaning mapping,RUNTIME,IMPLEMENTED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
CMR,CMR-BZR,BZR meaning mapping,RUNTIME,IMPLEMENTED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
CMR,CMR-HDR,HDR runtime mapping,RUNTIME,IMPLEMENTED,RM-5,EM-0,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
AST,AST-CALC-PLANET,Planet / astronomy calculation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,FUNCTIONAL_DYNAMICS,False
AST,AST-CALC-HOUSE,House calculation,METHOD,IMPLEMENTED,RM-5,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,FUNCTIONAL_DYNAMICS,False
AST,AST-CALC-ASPECT,Aspect calculation,METHOD,IMPLEMENTED,RM-5,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,FUNCTIONAL_DYNAMICS,False
BZR,BZR-SOLAR-CALENDAR,Solar calendar / true-time foundation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,TEMPORAL_STRUCTURE,False
BZR,BZR-FOUR-PILLARS,Four Pillars calculation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,TEMPORAL_STRUCTURE,False
BZR,BZR-LUCK-CYCLE,Luck cycle calculation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,TEMPORAL_STRUCTURE,False
NUM,NUM-BIRTH-NUMBER,Birth number calculation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,CYCLE_RHYTHM,False
NUM,NUM-CYCLE,Numerology cycle calculation,METHOD,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,CYCLE_RHYTHM,False
HDR,HDR-DESIGN-MOMENT,Design moment deterministic subset,METHOD,BLOCKED,RM-4,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,OPERATING_STRATEGY,False
HDR,HDR-BODYGRAPH,Bodygraph calculation subset,METHOD,BLOCKED,RM-4,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,OPERATING_STRATEGY,False
FINANCIAL,FIN-AUTHORITY,Financial authority boundary,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY,NONE_BY_DESIGN,False
FINANCIAL,FIN-INTAKE-CALC,Financial intake / calculation,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY,NONE_BY_DESIGN,False
FINANCIAL,FIN-NAV,Financial reality navigation,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY,NONE_BY_DESIGN,False
FINANCIAL,FIN-REPORT,Financial report surface contract,RUNTIME,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY,NONE_BY_DESIGN,False
COMMERCE,COMMERCE-SCHEMA,Book commerce schema,SERVICE,IMPLEMENTED,RM-2,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
COMMERCE,COMMERCE-CHECKOUT,Checkout / payment implementation,SERVICE,IMPLEMENTED,RM-2,EM-0,LEARN,LEARN,NONE_BY_DESIGN,False
ACCOUNT,ACCOUNT-MEMBERSHIP,Account / membership state,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
ACCOUNT,ACCOUNT-CONTINUITY,Account Reality continuity,RUNTIME,IMPLEMENTED,RM-5,EM-0,NAVIGATE,NAVIGATE;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
EXTERNAL_READER,ER-FRAMEWORK,External reader framework,SERVICE,IMPLEMENTED,RM-2,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
EXTERNAL_READER,ER-PRIVACY,External reader privacy boundary,SERVICE,IMPLEMENTED,RM-2,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
RRP,RRP-INPUT-BUNDLE,Runtime Reading input bundle,RUNTIME,BLOCKED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-PROJECTION-INTAKE,Canonical projection intake,RUNTIME,REGISTERED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-MEANING-ADMISSION,Governed meaning admission,GOVERNANCE,REGISTERED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-CONVERGENCE,Cross-runtime convergence classification,RUNTIME,REGISTERED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-REALITY-BINDING,Current Reality binding,RUNTIME,REGISTERED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-CARRIER-BINDING,Carrier and environment binding,RUNTIME,REGISTERED,RM-1,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-REPORT-COMPOSITION,Canonical report candidate composition,RUNTIME,VALIDATED,RM-5,EM-2,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-VISUAL-REFERENCE,Semantic visual reference binding,RUNTIME,IMPLEMENTED,RM-2,EM-0,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
RRP,RRP-RR-HANDOFF,RR candidate submission handoff,RUNTIME,IMPLEMENTED,RM-5,EM-1,UNDERSTAND_MY_REALITY,UNDERSTAND_MY_REALITY;KNOW_MYSELF,NONE_BY_DESIGN,False
NUM,NUM-PROJECTION,NUM CanonicalMethodProjection production projection,PROJECTION,PRODUCTION_ACCEPTED,RM-6,EM-1,KNOW_MYSELF,KNOW_MYSELF;UNDERSTAND_MY_REALITY,CYCLE_RHYTHM,False
DAR,DAR-CLAUSE-RESOLUTION,Deterministic clause resolution,RESOLVER,VALIDATED,RM-5,EM-2,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-DOCUMENT-ASSEMBLY,Document Assembly IR construction,ASSEMBLY,VALIDATED,RM-5,EM-2,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-DOCUMENT-VALIDATION,Document validation engine,VALIDATION,VALIDATED,RM-5,EM-2,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-HUMAN-REVIEW,Human review gate,HUMAN_GATE,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-LEGAL-ESCALATION,Professional/legal escalation gate,PROFESSIONAL_GATE,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-RENDERING,IR-only HTML/PDF/DOCX rendering,RENDERER,VALIDATED,RM-5,EM-2,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-VERSIONING,Document version and digest runtime,VERSIONING,VALIDATED,RM-5,EM-2,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
DAR,DAR-DOWNLOAD,Private time-limited document download grant,DELIVERY,IMPLEMENTED,RM-5,EM-0,WORK_WITH_PROFESSIONAL,WORK_WITH_PROFESSIONAL,NONE_BY_DESIGN,False
FDR,FDR-FINANCIAL-REALITY,Canonical Financial Reality Object,DATA,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-HOUSEHOLD-PERSON,Household and person graph,DATA,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-ASSET-OWNERSHIP,Asset and ownership graph,DATA,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-LIABILITY-GUARANTEE,Liability and guarantee facts,DATA,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-INCOME-EXPENSE,Income and expense facts,DATA,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-EVIDENCE-DISCLOSURE,Fact evidence and disclosure states,EVIDENCE,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-CONSENT-PRIVACY,Financial consent/privacy scope binding,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
FDR,FDR-CONTINUITY,Versioned financial snapshot continuity,VERSIONING,IMPLEMENTED,RM-5,EM-0,UNDERSTAND_MONEY,UNDERSTAND_MONEY;UNDERSTAND_MY_REALITY,NONE_BY_DESIGN,False
