canonicalProductionIndex,productionGroup,batchIndex,bookCode,partCode,nodeCode,titleZhHans,canonicalQuestionKey,registryStatus,publicationState,mappingState
17,BATCH-003,12,BOOK-1,P1,KN-B1-P1-004,结构如何形成配置、连续性与压缩,structure-forms-configuration-continuity-and-compression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
18,BATCH-003,13,BOOK-1,P1,KN-B1-P1-005,结构差异如何形成可连接的区域与网络,structural-difference-forms-regions-and-networks,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
19,BATCH-001,,BOOK-1,P1,KN-B1-P1-006,方向、位置与坐标如何共同形成导航,direction-position-and-coordinates-form-navigation,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
20,BATCH-003,14,BOOK-1,P1,KN-B1-P1-007,导航如何在结构中获得精度,navigation-gains-precision-through-structure,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
21,BATCH-003,15,BOOK-1,P1,KN-B1-P1-008,持续结构如何形成场及其梯度与边界,persistent-structure-forms-fields-gradients-and-boundaries,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
22,BATCH-003,16,BOOK-1,P1,KN-B1-P1-009,多个场如何传播、重叠并共同作用,fields-propagate-overlap-and-interact,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
23,BATCH-003,17,BOOK-1,P1,KN-B1-P1-010,人类如何建立人工结构与制度现实,humans-build-artificial-structures-and-institutional-reality,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
24,BATCH-003,18,BOOK-1,P1,KN-B1-P1-011,算法与合成场如何重新组织现代现实,algorithms-and-synthetic-fields-reorganize-modern-reality,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
25,BATCH-003,19,BOOK-1,P1,KN-B1-P1-012,运行表面与观察接口如何形成,runtime-surfaces-and-observation-interfaces-form,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
26,BATCH-001,,BOOK-1,P2,KN-B1-P2-001,为什么现实必须经过投影才能成为世界,projection-makes-reality-experiencable-as-world,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
27,BATCH-003,20,BOOK-1,P2,KN-B1-P2-002,投影表面如何成为经验界面,projection-surfaces-become-experience-interfaces,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
28,BATCH-003,21,BOOK-1,P2,KN-B1-P2-003,投影压缩与分辨率如何选择可经验现实,projection-compression-and-resolution-select-experiencable-reality,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
29,BATCH-003,22,BOOK-1,P2,KN-B1-P2-004,投影如何形成个人、组织与文明世界,projection-forms-personal-organizational-and-civilizational-worlds,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
30,BATCH-003,23,BOOK-1,P2,KN-B1-P2-005,意义如何形成叙事、解释、信念与身份,meaning-forms-narrative-interpretation-belief-and-identity,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
31,BATCH-003,24,BOOK-1,P2,KN-B1-P2-006,符号、原型与共同意义如何形成文明叙事,symbols-archetypes-and-shared-meaning-form-civilizational-narratives,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
32,BATCH-004,1,BOOK-1,P2,KN-B1-P2-007,结构、功能、关系与网络如何产生不同投影,structure-function-relations-and-networks-produce-projections,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
33,BATCH-004,2,BOOK-1,P2,KN-B1-P2-008,位置、感知、行为、角色与方向如何塑造现实版本,position-perception-behavior-role-and-direction-shape-reality-versions,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
34,BATCH-001,,BOOK-1,P2,KN-B1-P2-009,投影偏向、失真、稳定与更新如何发生,projection-bias-distortion-stability-and-renewal,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
35,BATCH-004,3,BOOK-1,P2,KN-B1-P2-010,多个投影如何协调并形成共同现实,multiple-projections-coordinate-into-shared-reality,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
36,BATCH-004,4,BOOK-1,P2,KN-B1-P2-011,社会、制度、经济、历史与文明如何稳定投影,society-institutions-economy-history-and-civilization-stabilize-projection,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
37,BATCH-004,5,BOOK-1,P2,KN-B1-P2-012,人工智能如何参与合成投影、意义与叙事,ai-participates-in-synthetic-projection-meaning-and-narrative,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
38,BATCH-004,6,BOOK-1,P2,KN-B1-P2-013,人机共投影如何加速、整合并暴露投影边界,human-ai-co-projection-accelerates-integration-and-exposes-boundaries,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
39,BATCH-004,7,BOOK-1,P3,KN-B1-P3-001,时间如何成为运行媒介并形成窗口,time-becomes-runtime-medium-and-forms-windows,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
40,BATCH-004,8,BOOK-1,P3,KN-B1-P3-002,现实如何获得进入时间的运行接口,reality-gains-an-interface-into-time,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
41,BATCH-004,9,BOOK-1,P3,KN-B1-P3-003,长期方向与发展重心如何形成,long-term-direction-and-development-focus-form,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
42,BATCH-004,10,BOOK-1,P3,KN-B1-P3-004,现实语法如何组织形成、激活、内化与重组,reality-grammar-organizes-formation-activation-internalization-and-reorganization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
43,BATCH-001,,BOOK-1,P3,KN-B1-P3-005,无限现实如何压缩为有限问题,infinite-reality-compresses-into-finite-problems,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
44,BATCH-004,11,BOOK-1,P3,KN-B1-P3-006,十六个基础问题如何组织辨认、建立、共存与延续,sixteen-foundational-questions-organize-recognition-building-coexistence-and-continuity,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
45,BATCH-004,12,BOOK-1,P3,KN-B1-P3-007,运行需求如何选择九种基础能力,runtime-needs-select-nine-foundational-capabilities,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
46,BATCH-004,13,BOOK-1,P3,KN-B1-P3-008,方向、理解、表达、位置与资源能力如何协同,direction-understanding-expression-position-and-resource-capabilities-coordinate,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
47,BATCH-004,14,BOOK-1,P3,KN-B1-P3-009,执行、关系、生存与驱动能力如何协同,execution-relation-survival-and-drive-capabilities-coordinate,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
48,BATCH-004,15,BOOK-1,P3,KN-B1-P3-010,运行驱动如何形成优先级与变化偏向,runtime-drives-form-priority-and-change-bias,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
49,BATCH-004,16,BOOK-1,P3,KN-B1-P3-011,坐标与运动语法如何组织现实变化,coordinates-and-motion-grammar-organize-reality-change,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
50,BATCH-004,17,BOOK-1,P3,KN-B1-P3-012,八种基础运动如何转换、闭环与稳定,eight-foundational-motions-transform-close-loops-and-stabilize,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
51,BATCH-004,18,BOOK-1,P3,KN-B1-P3-013,运动如何形成回路、网络与不同尺度,motion-forms-circuits-networks-and-scales,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
52,BATCH-004,19,BOOK-1,P3,KN-B1-P3-014,激活窗口、权重、场与时间如何共同放大或结束运动,activation-windows-weights-fields-and-time-amplify-or-end-motion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
53,BATCH-001,,BOOK-1,P3,KN-B1-P3-015,运行网络如何形成状态、反馈、重组与连续性,runtime-networks-form-state-feedback-reorganization-and-continuity,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
54,BATCH-004,20,BOOK-1,P4,KN-B1-P4-001,持续运行如何通过压缩成为生命组织,persistent-runtime-compresses-into-living-organization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
55,BATCH-004,21,BOOK-1,P4,KN-B1-P4-002,生物压缩如何形成稳定运行配置,biological-compression-forms-stable-runtime-configuration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
56,BATCH-002,,BOOK-1,P4,KN-B1-P4-003,初始化状态如何触发、嵌入坐标并长期稳定,initial-state-triggers-embeds-coordinates-and-stabilizes,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
57,BATCH-002,,BOOK-1,P4,KN-B1-P4-004,身体为何成为分层且有限的现实载体,body-becomes-layered-and-finite-reality-carrier,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
58,BATCH-004,22,BOOK-1,P4,KN-B1-P4-005,载体能力、约束、完整性与适应如何共同运行,carrier-capability-constraint-integrity-and-adaptation-coordinate,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
59,BATCH-001,,BOOK-1,P4,KN-B1-P4-006,运行成本、恢复与内部连接如何维持身体,runtime-cost-recovery-and-internal-connection-sustain-body,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
60,BATCH-004,23,BOOK-1,P4,KN-B1-P4-007,感官、环境与摄取条件如何调制现实输入,senses-environment-and-intake-conditions-modulate-reality-input,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
61,BATCH-004,24,BOOK-1,P4,KN-B1-P4-008,过滤、注意、优先级与解析度如何形成认知入口,filtering-attention-priority-and-resolution-form-cognitive-entry,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
62,BATCH-005,1,BOOK-1,P4,KN-B1-P4-009,神经、激素、节律与代谢如何把现实转成身体状态,neural-hormonal-rhythmic-and-metabolic-systems-convert-reality-into-body-state,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
63,BATCH-005,2,BOOK-1,P4,KN-B1-P4-010,生物噪声、缓冲与适应如何改变载体运行,biological-noise-buffering-and-adaptation-change-carrier-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
64,BATCH-005,3,BOOK-1,P4,KN-B1-P4-011,光、空气、水、食物、声音、温度与空间如何成为运行介质,light-air-water-food-sound-temperature-and-space-become-runtime-media,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
65,BATCH-005,4,BOOK-1,P4,KN-B1-P4-012,载体如何形成稳定组织，并在维护、漂移、失败与恢复之间运行,carrier-forms-stable-organization-across-maintenance-drift-failure-and-recovery,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
66,BATCH-006,1,BOOK-2,P5,KN-B1-P5-001,为什么某些 Reality 会进入意识,book-2-p5-01-runtime-visibility,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
67,BATCH-006,2,BOOK-2,P5,KN-B1-P5-002,Reality 如何形成体验,book-2-p5-02-experience-emergence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
68,BATCH-006,3,BOOK-2,P5,KN-B1-P5-003,现实如何在觉察之外继续运行,book-2-p5-04-dream-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
69,BATCH-006,4,BOOK-2,P5,KN-B1-P5-004,为什么意识误以为自己创造 Reality,book-2-p5-07-conscious-illusion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
70,BATCH-006,5,BOOK-2,P5,KN-B1-P5-005,为什么持续的运行中心会逐渐形成稳定的自我模型,book-2-p5-09-self-construction,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
71,BATCH-006,6,BOOK-2,P5,KN-B1-P5-006,情绪为何出现,book-2-p5-13-emotional-emergence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
72,BATCH-006,7,BOOK-2,P5,KN-B1-P5-007,现实如何留下适应痕迹,book-2-p5-18-adaptive-imprinting,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
73,BATCH-006,8,BOOK-2,P5,KN-B1-P5-008,体验配置系统如何形成,book-2-p5-21-experience-configuration-system,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
74,BATCH-006,9,BOOK-2,P5,KN-B1-P5-009,Reality 如何被观察,book-2-p5-24-perspective-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
75,BATCH-006,10,BOOK-2,P5,KN-B1-P5-010,复杂 Experience 如何被压缩,book-2-p5-35-compression-and-expression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
76,BATCH-006,11,BOOK-2,P5,KN-B1-P5-011,意图为何形成,book-2-p5-44-intention-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
77,BATCH-006,12,BOOK-2,P5,KN-B1-P5-012,身份如何被维持,book-2-p5-52-identity-stabilization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
78,BATCH-006,13,BOOK-2,P5,KN-B1-P5-013,人工智能是否能够形成自我模型,book-2-p5-64-synthetic-self-model,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
79,BATCH-006,14,BOOK-2,P5,KN-B1-P5-014,体验如何进入觉察,book-2-p5-03-awareness-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
80,BATCH-006,15,BOOK-2,P5,KN-B1-P5-015,为什么 Consciousness 是过程而不是对象,book-2-p5-05-continuous-conscious-process,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
81,BATCH-006,16,BOOK-2,P5,KN-B1-P5-016,为什么不同人体验不同 Reality,book-2-p5-06-subjective-reality,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
82,BATCH-006,17,BOOK-2,P5,KN-B1-P5-017,自我如何开始观察自己,book-2-p5-08-self-observation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
83,BATCH-006,18,BOOK-2,P5,KN-B1-P5-018,为什么自我会不断维持自己的存在,book-2-p5-10-self-maintenance,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
84,BATCH-006,19,BOOK-2,P5,KN-B1-P5-019,为什么同一个生命会形成彼此冲突的多个自我状态,book-2-p5-11-self-fragmentation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
85,BATCH-006,20,BOOK-2,P5,KN-B1-P5-020,自我如何重新整合,book-2-p5-12-self-reintegration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
86,BATCH-006,21,BOOK-2,P5,KN-B1-P5-021,情绪如何预测未来,book-2-p5-14-emotional-prediction,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
87,BATCH-006,22,BOOK-2,P5,KN-B1-P5-022,情绪如何参与未来模拟,book-2-p5-15-future-simulation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
88,BATCH-006,23,BOOK-2,P5,KN-B1-P5-023,情绪如何被调节,book-2-p5-16-emotional-regulation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
89,BATCH-006,24,BOOK-2,P5,KN-B1-P5-024,情绪如何扭曲 Reality,book-2-p5-17-emotional-distortion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
90,BATCH-007,1,BOOK-2,P5,KN-B1-P5-025,适应如何改变运行方式,book-2-p5-19-adaptive-reconfiguration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
91,BATCH-007,2,BOOK-2,P5,KN-B1-P5-026,适应结构如何重新整合,book-2-p5-20-adaptive-reintegration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
92,BATCH-007,3,BOOK-2,P5,KN-B1-P5-027,为什么进入系统的 Reality 只有部分形成体验,book-2-p5-22-experience-selection,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
93,BATCH-007,4,BOOK-2,P5,KN-B1-P5-028,体验如何获得稳定性,book-2-p5-23-experience-stabilization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
94,BATCH-007,5,BOOK-2,P5,KN-B1-P5-029,Reality 为什么变得重要,book-2-p5-25-motivation-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
95,BATCH-007,6,BOOK-2,P5,KN-B1-P5-030,不同 Experience 如何被组织为整体,book-2-p5-26-experience-integration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
96,BATCH-007,7,BOOK-2,P5,KN-B1-P5-031,分散时刻如何形成连续时间,book-2-p5-27-temporal-integration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
97,BATCH-007,8,BOOK-2,P5,KN-B1-P5-032,不同感觉如何形成同一个 Reality,book-2-p5-28-sensory-integration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
98,BATCH-007,9,BOOK-2,P5,KN-B1-P5-033,Experience 如何形成内部表征,book-2-p5-29-internal-representation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
99,BATCH-007,10,BOOK-2,P5,KN-B1-P5-034,经验如何成为可调用的过去,book-2-p5-30-memory-organization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
100,BATCH-007,11,BOOK-2,P5,KN-B1-P5-035,Runtime 如何在内部预演 Reality,book-2-p5-31-predictive-simulation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
101,BATCH-007,12,BOOK-2,P5,KN-B1-P5-036,内部世界如何保持连续,book-2-p5-32-representation-continuity,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
102,BATCH-007,13,BOOK-2,P5,KN-B1-P5-037,表达为何出现,book-2-p5-33-expression-emergence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
103,BATCH-007,14,BOOK-2,P5,KN-B1-P5-038,思考如何形成可表达结构,book-2-p5-34-cognitive-expression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
104,BATCH-007,15,BOOK-2,P5,KN-B1-P5-039,Reality 如何形成不同表达路径,book-2-p5-36-expression-architectures,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
105,BATCH-007,16,BOOK-2,P5,KN-B1-P5-040,为什么有些 Experience 能够表达而有些不能,book-2-p5-37-expression-threshold,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
106,BATCH-007,17,BOOK-2,P5,KN-B1-P5-041,表达能力如何发展,book-2-p5-38-expression-development,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
107,BATCH-007,18,BOOK-2,P5,KN-B1-P5-042,为什么不同 Runtime 使用不同表达方式,book-2-p5-39-expression-configuration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
108,BATCH-007,19,BOOK-2,P5,KN-B1-P5-043,媒介如何改变表达,book-2-p5-40-medium-configuration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
109,BATCH-007,20,BOOK-2,P5,KN-B1-P5-044,表达如何改变其他 Runtime,book-2-p5-41-expression-power,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
110,BATCH-007,21,BOOK-2,P5,KN-B1-P5-045,为什么表达会偏离 Experience,book-2-p5-42-expression-distortion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
111,BATCH-007,22,BOOK-2,P5,KN-B1-P5-046,为什么某些 Reality 无法被表达,book-2-p5-43-expression-silence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
112,BATCH-007,23,BOOK-2,P5,KN-B1-P5-047,决策为何出现,book-2-p5-45-decision-emergence,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
113,BATCH-007,24,BOOK-2,P5,KN-B1-P5-048,Reality 如何形成不同决策路径,book-2-p5-46-decision-architectures,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
114,BATCH-008,1,BOOK-2,P5,KN-B1-P5-049,现实如何形成选择,book-2-p5-47-decision-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
115,BATCH-008,2,BOOK-2,P5,KN-B1-P5-050,内部冲突为何出现,book-2-p5-48-internal-conflict,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
116,BATCH-008,3,BOOK-2,P5,KN-B1-P5-051,责任为何形成,book-2-p5-49-responsibility-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
117,BATCH-008,4,BOOK-2,P5,KN-B1-P5-052,承诺为何能够持续,book-2-p5-50-commitment-stability,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
118,BATCH-008,5,BOOK-2,P5,KN-B1-P5-053,行动力为何瓦解,book-2-p5-51-agency-collapse,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
119,BATCH-008,6,BOOK-2,P5,KN-B1-P5-054,身份如何被压缩,book-2-p5-53-identity-compression,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
120,BATCH-008,7,BOOK-2,P5,KN-B1-P5-055,身份为何偏离,book-2-p5-54-identity-drift,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
121,BATCH-008,8,BOOK-2,P5,KN-B1-P5-056,身份如何重组,book-2-p5-55-identity-reconfiguration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
122,BATCH-008,9,BOOK-2,P5,KN-B1-P5-057,身份如何瓦解,book-2-p5-56-identity-dissolution,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
123,BATCH-008,10,BOOK-2,P5,KN-B1-P5-058,行动结果如何重新进入 Experience,book-2-p5-57-feedback-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
124,BATCH-008,11,BOOK-2,P5,KN-B1-P5-059,Runtime 如何修正自己,book-2-p5-58-runtime-calibration,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
125,BATCH-008,12,BOOK-2,P5,KN-B1-P5-060,经验如何改变下一次意识运行,book-2-p5-59-conscious-learning,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
126,BATCH-008,13,BOOK-2,P5,KN-B1-P5-061,自我模型如何停止维持自身,book-2-p5-60-self-model-dissolution,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
127,BATCH-008,14,BOOK-2,P5,KN-B1-P5-062,叙事如何在当前 Runtime 结束以后继续存在,book-2-p5-61-narrative-survival,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
128,BATCH-008,15,BOOK-2,P5,KN-B1-P5-063,意义为何留下残留,book-2-p5-62-meaning-residue,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
129,BATCH-008,16,BOOK-2,P5,KN-B1-P5-064,Conscious Runtime 如何完成一次运行,book-2-p5-63-conscious-completion,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
130,BATCH-008,17,BOOK-2,P5,KN-B1-P5-065,人工智能是否能够形成 Conscious Runtime,book-2-p5-65-synthetic-consciousness,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
131,BATCH-008,18,BOOK-2,P6,KN-B2-P6-001,为什么共同 Reality 会出现,book-2-p6-01-shared-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
132,BATCH-008,19,BOOK-2,P6,KN-B2-P6-002,多个 Runtime 如何开始同步,book-2-p6-02-runtime-synchronization,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
133,BATCH-008,20,BOOK-2,P6,KN-B2-P6-003,Runtime 如何形成连接,book-2-p6-03-runtime-connection-mechanics,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
134,BATCH-008,21,BOOK-2,P6,KN-B2-P6-004,为什么共同场开始形成,book-2-p6-04-shared-field,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
135,BATCH-008,22,BOOK-2,P6,KN-B2-P6-005,多个 Runtime 如何同步同一个 Field,book-2-p6-05-field-synchronization,planned,UNPUBLISHED,MAPPING_NOT_ESTABLISHED
136,BATCH-008,23,BOOK-2,P6,KN-B2-P6-006,为什么开始共振,book-2-p6-06-resonance,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
137,BATCH-008,24,BOOK-2,P6,KN-B2-P6-007,为什么开始互相干扰,book-2-p6-07-interference,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
138,BATCH-009,1,BOOK-2,P6,KN-B2-P6-008,生命为何能够共同运行,book-2-p6-08-biological-resonance,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
139,BATCH-009,2,BOOK-2,P6,KN-B2-P6-009,Reality 如何形成多人系统,book-2-p6-09-multi-node-runtime,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
140,BATCH-009,3,BOOK-2,P6,KN-B2-P6-010,为什么共同 Runtime 会开始出现稳定中心,book-2-p6-10-runtime-dominance,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
