batchCode,batchIndex,bookCode,partCode,canonicalProductionIndex,nodeCode,titleZhHans,mappingState,publicationState
BATCH-007,7,BOOK-2,P5,96,KN-B1-P5-031,分散时刻如何形成连续时间,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,8,BOOK-2,P5,97,KN-B1-P5-032,不同感觉如何形成同一个 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,9,BOOK-2,P5,98,KN-B1-P5-033,Experience 如何形成内部表征,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,10,BOOK-2,P5,99,KN-B1-P5-034,经验如何成为可调用的过去,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,11,BOOK-2,P5,100,KN-B1-P5-035,Runtime 如何在内部预演 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,12,BOOK-2,P5,101,KN-B1-P5-036,内部世界如何保持连续,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,13,BOOK-2,P5,102,KN-B1-P5-037,表达为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,14,BOOK-2,P5,103,KN-B1-P5-038,思考如何形成可表达结构,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,15,BOOK-2,P5,104,KN-B1-P5-039,Reality 如何形成不同表达路径,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,16,BOOK-2,P5,105,KN-B1-P5-040,为什么有些 Experience 能够表达而有些不能,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,17,BOOK-2,P5,106,KN-B1-P5-041,表达能力如何发展,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,18,BOOK-2,P5,107,KN-B1-P5-042,为什么不同 Runtime 使用不同表达方式,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,19,BOOK-2,P5,108,KN-B1-P5-043,媒介如何改变表达,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,20,BOOK-2,P5,109,KN-B1-P5-044,表达如何改变其他 Runtime,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,21,BOOK-2,P5,110,KN-B1-P5-045,为什么表达会偏离 Experience,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,22,BOOK-2,P5,111,KN-B1-P5-046,为什么某些 Reality 无法被表达,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,23,BOOK-2,P5,112,KN-B1-P5-047,决策为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,24,BOOK-2,P5,113,KN-B1-P5-048,Reality 如何形成不同决策路径,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,1,BOOK-2,P5,114,KN-B1-P5-049,现实如何形成选择,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,2,BOOK-2,P5,115,KN-B1-P5-050,内部冲突为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,3,BOOK-2,P5,116,KN-B1-P5-051,责任为何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,4,BOOK-2,P5,117,KN-B1-P5-052,承诺为何能够持续,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,5,BOOK-2,P5,118,KN-B1-P5-053,行动力为何瓦解,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,6,BOOK-2,P5,119,KN-B1-P5-054,身份如何被压缩,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,7,BOOK-2,P5,120,KN-B1-P5-055,身份为何偏离,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,8,BOOK-2,P5,121,KN-B1-P5-056,身份如何重组,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,9,BOOK-2,P5,122,KN-B1-P5-057,身份如何瓦解,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,10,BOOK-2,P5,123,KN-B1-P5-058,行动结果如何重新进入 Experience,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,11,BOOK-2,P5,124,KN-B1-P5-059,Runtime 如何修正自己,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,12,BOOK-2,P5,125,KN-B1-P5-060,经验如何改变下一次意识运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,13,BOOK-2,P5,126,KN-B1-P5-061,自我模型如何停止维持自身,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,14,BOOK-2,P5,127,KN-B1-P5-062,叙事如何在当前 Runtime 结束以后继续存在,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,15,BOOK-2,P5,128,KN-B1-P5-063,意义为何留下残留,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,16,BOOK-2,P5,129,KN-B1-P5-064,Conscious Runtime 如何完成一次运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,17,BOOK-2,P5,130,KN-B1-P5-065,人工智能是否能够形成 Conscious Runtime,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,18,BOOK-2,P6,131,KN-B2-P6-001,为什么共同 Reality 会出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,19,BOOK-2,P6,132,KN-B2-P6-002,多个 Runtime 如何开始同步,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,20,BOOK-2,P6,133,KN-B2-P6-003,Runtime 如何形成连接,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,21,BOOK-2,P6,134,KN-B2-P6-004,为什么共同场开始形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,22,BOOK-2,P6,135,KN-B2-P6-005,多个 Runtime 如何同步同一个 Field,MAPPING_NOT_ESTABLISHED,UNPUBLISHED
BATCH-008,23,BOOK-2,P6,136,KN-B2-P6-006,为什么开始共振,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-008,24,BOOK-2,P6,137,KN-B2-P6-007,为什么开始互相干扰,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,1,BOOK-2,P6,138,KN-B2-P6-008,生命为何能够共同运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,2,BOOK-2,P6,139,KN-B2-P6-009,Reality 如何形成多人系统,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,3,BOOK-2,P6,140,KN-B2-P6-010,为什么共同 Runtime 会开始出现稳定中心,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,4,BOOK-2,P6,141,KN-B2-P6-011,为什么共同 Runtime 必须开始分配运行成本,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,5,BOOK-2,P6,142,KN-B2-P6-012,为什么长期系统一定开始出现结构冲突,MAPPING_NOT_ESTABLISHED,UNPUBLISHED
BATCH-009,6,BOOK-2,P6,143,KN-B2-P6-013,共同 Reality 为什么需要形成边界,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,7,BOOK-2,P6,144,KN-B2-P6-014,为什么边界一直改变,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,8,BOOK-2,P6,145,KN-B2-P6-015,为什么边界最终瓦解,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,9,BOOK-2,P6,146,KN-B2-P6-016,为什么 Runtime 会开始降低独立性,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,10,BOOK-2,P6,147,KN-B2-P6-017,为什么 Runtime 会开始固定连接,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,11,BOOK-2,P6,148,KN-B2-P6-018,整个共同 Runtime 如何持续改变,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,12,BOOK-2,P6,149,KN-B2-P6-019,为什么多个共同现实开始彼此连接,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,13,BOOK-2,P6,150,KN-B2-P6-020,为什么不同共同现实维持参与平衡,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,14,BOOK-2,P6,151,KN-B2-P6-021,为什么不同共同现实开始承担不同责任,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,15,BOOK-2,P6,152,KN-B2-P6-022,为什么运行负荷开始跨共同现实重新分配,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,16,BOOK-2,P6,153,KN-B2-P6-023,为什么现实生态必须承担整体成本,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,17,BOOK-2,P6,154,KN-B2-P6-024,为什么多个共同现实能够长期稳定共存,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,18,BOOK-2,P6,155,KN-B2-P6-025,生命为什么需要共同形成下一代,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,19,BOOK-2,P6,156,KN-B2-P6-026,为什么长期关系能够稳定形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,20,BOOK-2,P6,157,KN-B2-P6-027,为什么共同养育会形成新的 Runtime,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,21,BOOK-2,P6,158,KN-B2-P6-028,为什么孩子会成为新的 Runtime,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,22,BOOK-2,P6,159,KN-B2-P6-029,为什么 Runtime 会跨世代延续,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,23,BOOK-2,P6,160,KN-B2-P6-030,家庭模式为什么不断复制,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-009,24,BOOK-2,P6,161,KN-B2-P6-031,Runtime 如何在世代之间改变,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,1,BOOK-2,P6,162,KN-B2-P6-032,Family 如何形成长期稳定系统,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,2,BOOK-2,P6,163,KN-B2-P6-033,情绪如何在家庭 Runtime 中流动,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,3,BOOK-2,P6,164,KN-B2-P6-034,家庭成员如何形成共同节奏,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,4,BOOK-2,P6,165,KN-B2-P6-035,家庭 Runtime 如何重新配置,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,5,BOOK-2,P6,166,KN-B2-P6-036,家庭 Runtime 为什么会瓦解,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,6,BOOK-2,P6,167,KN-B2-P6-037,为什么多个家庭会形成群体,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,7,BOOK-2,P6,168,KN-B2-P6-038,群体如何形成社区运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,8,BOOK-2,P6,169,KN-B2-P6-039,群体如何形成共享身份,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,9,BOOK-2,P6,170,KN-B2-P6-040,为什么共同现实会不断彼此强化,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,10,BOOK-2,P6,171,KN-B2-P6-041,群体为什么走向两极化,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,11,BOOK-2,P6,172,KN-B2-P6-042,现实影响如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,12,BOOK-2,P6,173,KN-B2-P6-043,注意力如何在多个 Runtime 之间耦合,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,13,BOOK-2,P6,174,KN-B2-P6-044,信念如何在多个 Runtime 之间耦合,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,14,BOOK-2,P6,175,KN-B2-P6-045,为什么共同运行会不断重复同一个故事,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,15,BOOK-2,P6,176,KN-B2-P6-046,群体暗示如何改变 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,16,BOOK-2,P6,177,KN-B2-P6-047,符号如何形成关系影响,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,17,BOOK-2,P6,178,KN-B2-P6-048,为什么共同运行会逐渐限制生命的运行方向,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,18,BOOK-2,P6,179,KN-B2-P6-049,一个 Runtime 如何劫持另一个 Runtime,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,19,BOOK-2,P6,180,KN-B2-P6-050,Runtime 如何从关系影响中恢复,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,20,BOOK-2,P6,181,KN-B2-P6-056,Runtime 如何离开共同 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,21,BOOK-2,P6,182,KN-B2-P6-057,共同 Reality 如何留下共享记忆,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,22,BOOK-2,P6,183,KN-B2-P6-058,共同 Reality 如何完成一次运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,23,BOOK-2,P7,184,KN-B2-P7-001,集体场为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-010,24,BOOK-2,P7,185,KN-B2-P7-002,为何多人会相信同一个现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,1,BOOK-2,P7,186,KN-B2-P7-003,为何故事能够形成共同现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,2,BOOK-2,P7,187,KN-B2-P7-004,情绪如何跨个体传播,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,3,BOOK-2,P7,188,KN-B2-P7-005,群体如何形成我们,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,4,BOOK-2,P7,189,KN-B2-P7-006,集体为什么开始约束个体,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,5,BOOK-2,P7,190,KN-B2-P7-007,价值为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,6,BOOK-2,P7,191,KN-B2-P7-008,价值如何形成排序,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,7,BOOK-2,P7,192,KN-B2-P7-009,资源为何被压缩,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,8,BOOK-2,P7,193,KN-B2-P7-010,稀缺性如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-011,9,BOOK-2,P7,194,KN-B2-P7-011,社会奖励机制如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
