"序号","分类","R2 object key","公开图片链接","用途","原登记页面","检查状态","实际显示页面","引用文件"
"11","品牌标识","images/branding/logo/PHIOS-LOGO-PRIMARY-STACKED-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-PRIMARY-STACKED-v1.svg","LOGO-004","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"12","品牌标识","images/branding/logo/PHIOS-LOGO-REALITY-NAVIGATION-LOCKUP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-REALITY-NAVIGATION-LOCKUP-v1.svg","LOGO-005","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"13","品牌标识","images/branding/logo/PHIOS-LOGO-WORDMARK-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-WORDMARK-v1.svg","LOGO-002","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"14","知识与报告图示","images/figures/academy/PHIOS-FIGURE-CAPABILITY-PROGRESSION-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/academy/PHIOS-FIGURE-CAPABILITY-PROGRESSION-v1.svg","Capability Progression","/academy/","DISPLAYED_CONDITIONALLY","/academy/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"15","知识与报告图示","images/figures/academy/PHIOS-FIGURE-EVIDENCE-INFERENCE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/academy/PHIOS-FIGURE-EVIDENCE-INFERENCE-v1.svg","Evidence vs Inference","/academy/","DISPLAYED_CONDITIONALLY","/academy/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"16","知识与报告图示","images/figures/academy/PHIOS-FIGURE-KNOWLEDGE-LESSON-PRACTICE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/academy/PHIOS-FIGURE-KNOWLEDGE-LESSON-PRACTICE-v1.svg","Knowledge → Lesson → Practice","/academy/","DISPLAYED_CONDITIONALLY","/academy/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"17","知识与报告图示","images/figures/academy/PHIOS-FIGURE-LEARNING-ARCHITECTURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/academy/PHIOS-FIGURE-LEARNING-ARCHITECTURE-v1.svg","Learning Architecture","/academy/","DISPLAYED_CONDITIONALLY","/academy/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"18","知识与报告图示","images/figures/academy/PHIOS-FIGURE-LEARNING-CONTINUITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/academy/PHIOS-FIGURE-LEARNING-CONTINUITY-v1.svg","Learning Continuity","/academy/","DISPLAYED_CONDITIONALLY","/academy/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"19","知识与报告图示","images/figures/account/PHIOS-FIGURE-ACCOUNT-REALITY-STRUCTURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/account/PHIOS-FIGURE-ACCOUNT-REALITY-STRUCTURE-v1.svg","Account Reality Structure","/account.html","LEGACY_ROUTE_ONLY","","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json"
"20","知识与报告图示","images/figures/financial/PHIOS-FIGURE-ASSETS-LIABILITIES-STRUCTURE-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-ASSETS-LIABILITIES-STRUCTURE-v1.svg","Assets / Liabilities Structure","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"21","知识与报告图示","images/figures/financial/PHIOS-FIGURE-CASHFLOW-RUNTIME-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-CASHFLOW-RUNTIME-v1.svg","Cashflow Runtime","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"22","知识与报告图示","images/figures/financial/PHIOS-FIGURE-EVIDENCE-DECISION-BOUNDARY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-EVIDENCE-DECISION-BOUNDARY-v1.svg","Evidence → Decision Boundary","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"23","知识与报告图示","images/figures/financial/PHIOS-FIGURE-FINANCIAL-CONTINUITY-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-FINANCIAL-CONTINUITY-v1.svg","Financial Continuity","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"24","知识与报告图示","images/figures/financial/PHIOS-FIGURE-FINANCIAL-DECISION-FLOW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-FINANCIAL-DECISION-FLOW-v1.svg","Financial Decision Flow","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"25","知识与报告图示","images/figures/financial/PHIOS-FIGURE-FINANCIAL-REALITY-SYSTEM-MAP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-FINANCIAL-REALITY-SYSTEM-MAP-v1.svg","Financial Reality System Map","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"26","知识与报告图示","images/figures/financial/PHIOS-FIGURE-INCOME-EXPENSE-FLOW-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-INCOME-EXPENSE-FLOW-v1.svg","Income / Expense Flow","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
"27","知识与报告图示","images/figures/financial/PHIOS-FIGURE-RISK-CONSTRAINT-MAP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/figures/financial/PHIOS-FIGURE-RISK-CONSTRAINT-MAP-v1.svg","Risk / Constraint Map","/professional/financial/","DISPLAYED_CONDITIONALLY","/professional/financial/","content/customer-experience-rebuild/audits/customer-asset-availability-v1.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/registry/public-assets.json | content/visual-production/figure/canonical-client-figure-registry-v2.json | content/web-production/registries/client-visual-asset-registry-v1.2.json | content/web-production/registries/client-visual-asset-registry-v1.3.json | content/web-production/registries/client-visual-asset-registry-v1.4.json | content/web-production/registries/client-visual-asset-registry-v1.5.json | content/web-production/registries/client-visual-asset-registry-v1.6.json | content/web-production/registries/client-visual-asset-registry-v1.7.json | content/web-production/registries/client-visual-asset-registry-v1.8.json | content/web/homepage/hpc2-pre/evidence/r2-live-verification-v1.json | content/web/homepage/hpc2-pre/r2-actual-object-inventory-v1.json | content/web/index-surfaces/pis-r1-context-figures-v1.json"
